name,location,comments count,speed,service,flavour,mean
" Dönerci Ali Usta, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,406,8.8,8.8,8.7,8.8
" Hacı Bozan Oğulları, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bahcelievler-sirinevler-mah,108,8.7,8.9,8.7,8.8
" Domino's Pizza, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,361,8.8,8.8,8.7,8.8
" Seyidoğlu, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,60,8.9,8.9,8.5,8.8
" Kral Balık, Bağcılar (Kazım Karabekir Mah.) ",istanbul/bahcelievler-sirinevler-mah,80,8.7,8.8,8.7,8.7
" Burger King, Bahçelievler (Çobançeşme Mah.) ",istanbul/bahcelievler-sirinevler-mah,1067,8.9,8.7,8.5,8.7
" Hatay Vav Döner & Burger, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,328,8.7,8.8,8.7,8.7
" Nalia Karadeniz Mutfağı, Bağcılar (Güneşli Mah.) ",istanbul/bahcelievler-sirinevler-mah,404,8.8,8.7,8.6,8.7
" Midye Kovası, Bağcılar (Sancaktepe Mah.) ",istanbul/bahcelievler-sirinevler-mah,32,9.0,8.8,8.3,8.7
" Köfteci Ramiz, Bakırköy (Ataköy 9. Kısım - Airport) ",istanbul/bahcelievler-sirinevler-mah,57,8.9,8.7,8.5,8.7
" Bursa İskender Kebap, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,223,8.9,8.6,8.6,8.7
" Bubble Waffle Shop, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,152,,8.7,8.7,8.7
" Suruç Memoli Kebap, Bahçelievler (Zafer Mah.) ",istanbul/bahcelievler-sirinevler-mah,25,9.0,8.6,8.5,8.7
" Mogaf Hatay Döner, Bahçelievler (Kocasinan Mah.) ",istanbul/bahcelievler-sirinevler-mah,529,8.5,8.7,8.8,8.7
" Kervan Börek, Güngören (Güven Mah.) ",istanbul/bahcelievler-sirinevler-mah,146,8.7,8.7,8.6,8.7
" Tatlıses Çiğ Köfte, Güngören (M. Nesih Özmen Mah. - Merter) ",istanbul/bahcelievler-sirinevler-mah,42,8.9,8.6,8.5,8.7
" Gözde Kebapçısı, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,36,9.0,8.4,8.6,8.7
" Ayvaz Döner, Bahçelievler (Şirinevler Mah.) ",istanbul/bahcelievler-sirinevler-mah,80,8.7,8.6,8.7,8.7
" Yakut Saray Sac Tava Kebap & Pide, Bahçelievler (Siyavuşpaşa Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,85,8.9,8.6,8.5,8.7
" Ercan Burger, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bahcelievler-sirinevler-mah,261,8.7,8.7,8.6,8.7
" Güney Kebap & Lahmacun, Güngören (Haznedar Mah.) ",istanbul/bahcelievler-sirinevler-mah,211,9.0,8.5,8.5,8.7
" Aslı Börek, Bakırköy (Yeşilyurt Mah.) ",istanbul/bahcelievler-sirinevler-mah,35,8.9,8.8,8.2,8.6
" Şehzade İskender, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bahcelievler-sirinevler-mah,89,9.0,8.6,8.4,8.7
" Omis Fırın & Cafe, Bahçelievler (Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,17,,8.7,8.6,8.6
" Kilisli Çavuşoğlu Kebap, Bahçelievler (Yenibosna Merkez Mah.) ",istanbul/bahcelievler-sirinevler-mah,28,8.7,8.6,8.6,8.6
