name,location,comments count,speed,service,flavour,mean
" Yeşilköy Pilavcısı, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,117,8.9,8.9,8.9,8.9
" Galite Gurme, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,208,9.1,8.9,8.7,8.9
" Çevre İskender & Kebap & Lahmacun, Bakırköy (Zeytinlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,322,9.1,9.0,8.6,8.9
" Konya Mevlana Etli Ekmek, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,427,8.8,9.0,8.9,8.9
" Frango Burger, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,35,8.9,9.1,8.7,8.9
" Atawich, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,208,9.2,9.0,8.5,8.9
" Burger Yiyelim, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,271,9.0,8.9,8.7,8.9
" Has Çiğ Köfte Dünyası, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,6,,8.8,9.0,8.9
" Ayvaz Burger, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,14,,9.0,8.8,8.9
" Tatlıses Çiğ Köfte, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,180,9.1,8.9,8.6,8.9
" Şirinyer Kebap & Lahmacun, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,256,9.1,8.7,8.6,8.8
" Oses Çiğ Köfte, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,122,8.7,8.9,8.9,8.8
" Mrs. Yaprak Tantuni, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,153,9.0,8.8,8.6,8.8
" Beyranet, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,77,9.0,8.9,8.5,8.8
" Pizzaline, Bahçelievler (Merkez Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,86,8.7,8.9,8.7,8.8
" Hrn Taksim Hamburger, Bakırköy (Sakızağacı Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,168,9.0,8.8,8.5,8.8
" Halime Sultan Ev Yemekleri, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,122,9.0,8.9,8.4,8.8
" Mienyu Coffee, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,50,8.8,8.6,8.9,8.8
" Apple Ice Cream, Zeytinburnu (Gökalp Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,8,8.8,8.9,8.5,8.7
" Bubble Waffle Shop, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,152,,8.7,8.8,8.8
" Lokmacho, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,76,,8.8,8.7,8.8
" Asrın Şişmanoğulları Izgara Evi, Bakırköy (Osmaniye Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,93,9.0,8.6,8.5,8.7
" Bursa İskender Kebap, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,223,8.9,8.6,8.5,8.7
" Tacofit, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,157,8.5,8.9,8.6,8.7
" Şehzade İskender, Bahçelievler (Siyavuşpaşa Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,90,9.0,8.6,8.4,8.7
" Pizza Grande, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,171,9.0,8.7,8.3,8.7
" Kumpir Box, Bakırköy (Yeşilköy Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,188,8.7,8.7,8.6,8.7
" McDonald's, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,644,8.9,8.5,8.5,8.6
" Komagene Etsiz Çiğ Köfte, Bakırköy (Kartaltepe Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,108,8.5,8.7,8.7,8.6
" Sushi Time, Zeytinburnu (Sümer Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,171,8.7,8.8,8.4,8.6
" Meşhur Yayla Kokoreççisi, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,195,9.1,8.5,8.3,8.6
" Everyday Roastery, Bahçelievler (Hürriyet Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,13,,8.9,8.3,8.6
" Beleş Döner, Bakırköy (Zuhuratbaba Mah. - İncirli) ",istanbul/bakirkoy-atakoy-3-kisim,179,8.8,8.7,8.4,8.6
" Antepli Fahri Ustasından, Bakırköy (Zuhuratbaba Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,177,8.9,8.7,8.4,8.7
" Ercan Burger, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,260,8.7,8.7,8.5,8.6
" Roma Dondurması, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,71,8.6,8.6,8.5,8.6
" Beyzade Kokoreç, Güngören (Haznedar Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,193,8.6,8.7,8.5,8.6
" Karadeniz Full Pide, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,94,8.6,8.4,8.6,8.5
" Şahap Akagün Lahmacun & Pide, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,201,8.6,8.5,8.4,8.5
" Selimiye Muhallebicisi, Zeytinburnu (Maltepe Mah.- Cevizlibağ) ",istanbul/bakirkoy-atakoy-3-kisim,185,8.6,8.6,8.3,8.5
" Çiğ Köfte Derviş Usta, Bakırköy (Cevizlik Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,34,,8.5,8.5,8.5
" Elit Profiterol & Ekler & Dondurma, Bahçelievler (Siyavuşpaşa Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,18,8.5,8.5,8.5,8.5
" No:17 Bakery, Bakırköy (Ataköy 8. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,19,,8.6,8.3,8.4
" Domino's Pizza, Bakırköy (Ataköy 4. Kısım) ",istanbul/bakirkoy-atakoy-3-kisim,208,8.7,8.5,8.2,8.5
" Faruk Güllüoğlu, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,130,8.6,8.6,8.1,8.4
" Bahçelievler Dürüm, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,51,8.4,8.4,8.5,8.4
" Gala Kokoreç, Güngören (Haznedar Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,307,8.6,8.4,8.3,8.4
" Tacos Hall, Bakırköy (Kartaltepe Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,284,8.4,8.5,8.4,8.4
" Yağcıoğlu Pastane & Restoran, Bahçelievler (Merkez Mah. - Yayla) ",istanbul/bakirkoy-atakoy-3-kisim,411,8.7,8.5,8.1,8.4
" Pilav & Kokoreç Sarayı, Bahçelievler (Şirinevler Mah.) ",istanbul/bakirkoy-atakoy-3-kisim,39,8.6,8.4,8.1,8.4
